Timestamp	1. Bạn đang là sinh viên năm mấy?	2. Bạn đã từng học các môn có hoạt động thực hành trên máy tính hoặc lập trình chưa?	3. Trong lớp thực hành, bạn thường sử dụng công cụ nào để nhận bài và nộp bài?	4. Trong giờ thực hành, bạn gặp khó khăn hoặc bị “kẹt” khi làm bài với tần suất như thế nào?	5. Khi gặp khó khăn, bạn thường làm gì?	6. Điều gì khiến bạn không chủ động hỏi giảng viên khi gặp khó khăn?	7. Khi bạn gặp khó khăn trong giờ thực hành, thông thường mất bao lâu để nhận được hỗ trợ phù hợp?	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Giảng viên khó biết sinh viên nào đang gặp khó khăn trong lớp đông.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi từng bị chậm tiến độ vì không được hỗ trợ kịp thời.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Có những phần tôi chưa hiểu nhưng giảng viên vẫn tiếp tục bài học.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi chỉ biết mình làm sai khi nhận kết quả hoặc được chấm bài.]	8. Bạn đồng ý ở mức độ nào với các nhận định sau? [Tôi muốn được nhận gợi ý khi mắc lỗi nhiều lần.]	9. Hãy tưởng tượng LMS có thể tự động phân tích tiến độ học tập và phát hiện khi nhiều sinh viên đang gặp cùng một vấn đề. Bạn đánh giá tính năng này hữu ích ở mức nào?	10. Bạn mong muốn sử dụng những tính năng nào sau đây?	11. Trong số các tính năng trên, tính năng nào quan trọng nhất với bạn?	12. Bạn muốn AI hỗ trợ đến mức nào?	13. Bạn có lo ngại điều gì khi AI phân tích hoạt động học tập trên LMS?	14. Nếu hệ thống này được triển khai thử nghiệm, bạn có sẵn sàng sử dụng không?	15. Theo bạn, hệ thống cần làm gì để hỗ trợ sinh viên tốt hơn trong giờ thực hành?
7/30/2026 16:13:02	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường	1	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Sợ câu hỏi của mình quá đơn giản, Giảng viên đang bận hỗ trợ sinh viên khác, Không biết mô tả lỗi như thế nào	Dưới 5 phút	Hoàn toàn không đồng ý	Không đồng ý	Trung lập	Trung lập	Đồng ý	5	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz tự động thay đổi theo kết quả học tập của sinh viên, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên	Gợi ý cá nhân khi gặp lỗi	AI đưa ra gợi ý, nhưng sinh viên chủ động lựa chọn xem	AI đưa ra gợi ý hoặc đáp án không chính xác, Phụ thuộc quá nhiều vào AI, Badge hoặc bảng xếp hạng tạo sự cạnh tranh không cần thiết	Có thể có	
7/30/2026 16:13:50	Năm 3	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab	4	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản, Giảng viên đang bận hỗ trợ sinh viên khác, Không biết mô tả lỗi như thế nào, Lớp đông nên khó nhận được hỗ trợ, Muốn tự giải quyết trước	Trên 20 phút	Trung lập	Trung lập	Đồng ý	Trung lập	Hoàn toàn đồng ý	5	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Giảng viên hoặc trợ giảng duyệt kết quả trước khi trả cho sinh viên, Hiển thị tiến độ hoàn thành bài tập, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn, Badge, huy hiệu hoặc điểm thưởng khi hoàn thành nhiệm vụ, Bảng xếp hạng trong lớp	AI chấm sơ bộ và giảng viên duyệt kết quả	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	Quyền riêng tư và dữ liệu cá nhân, AI đánh giá sai mức độ hiểu bài, AI đưa ra gợi ý hoặc đáp án không chính xác, Phụ thuộc quá nhiều vào AI, Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực, Badge hoặc bảng xếp hạng tạo sự cạnh tranh không cần thiết	Chưa chắc chắn	
7/30/2026 16:16:58	Năm 4	Chưa học nhưng sắp học	Hệ thống LMS của trường, GitHub hoặc GitLab, Zalo, Messenger hoặc Discord	5	Hỏi trực tiếp giảng viên hoặc trợ giảng, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Bỏ qua và chuyển sang phần khác	Sợ câu hỏi của mình quá đơn giản, Lớp đông nên khó nhận được hỗ trợ, Tôi thường chủ động hỏi giảng viên	Từ 11–20 phút	Đồng ý	Trung lập	Hoàn toàn đồng ý	Đồng ý	Trung lập	3	Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz tự động thay đổi theo kết quả học tập của sinh viên, Hiển thị tiến độ hoàn thành bài tập	Quiz hoặc poll kiểm tra nhanh	AI tự động hướng dẫn từng bước để hoàn thành bài	AI đánh giá sai mức độ hiểu bài, AI đưa ra gợi ý hoặc đáp án không chính xác, Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực, Tôi không có lo ngại	Chắc chắn không	
7/30/2026 16:19:10	Năm 5 trở lên	Đã học nhiều môn	Hệ thống LMS của trường, Microsoft Teams, GitHub hoặc GitLab	2	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Muốn tự giải quyết trước, Tôi thường chủ động hỏi giảng viên	Từ 5–10 phút	Đồng ý	Trung lập	Trung lập	Không đồng ý	Đồng ý	3	Nhận gợi ý khi mắc cùng một lỗi nhiều lần	Gợi ý cá nhân khi gặp lỗi	AI tự động hướng dẫn từng bước để hoàn thành bài	AI đánh giá sai mức độ hiểu bài	Chưa chắc chắn	
7/30/2026 16:20:23	Năm 4	Đã học 1–2 môn	Hệ thống LMS của trường	3	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Giảng viên đang bận hỗ trợ sinh viên khác, Lớp đông nên khó nhận được hỗ trợ	Từ 11–20 phút	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	5	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn	Gợi ý cá nhân khi gặp lỗi	AI chỉ phân tích và thông báo cho giảng viên	Phụ thuộc quá nhiều vào AI, Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực	Chưa chắc chắn	
7/30/2026 16:21:13	Thất nghiệp	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab	4	Sử dụng ChatGPT hoặc công cụ AI khác	Giảng viên đang bận hỗ trợ sinh viên khác	Từ 5–10 phút	Đồng ý	Hoàn toàn đồng ý	Đồng ý	Hoàn toàn đồng ý	Hoàn toàn đồng ý	4	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài	Gợi ý cá nhân khi gặp lỗi	AI tự động hướng dẫn từng bước để hoàn thành bài	Phụ thuộc quá nhiều vào AI	Có thể có	
7/30/2026 16:21:56	Đã ra trường	Đã học nhiều môn	Hệ thống LMS của trường	2	Hỏi bạn bè, Sử dụng ChatGPT hoặc công cụ AI khác	Sợ câu hỏi của mình quá đơn giản, Giảng viên đang bận hỗ trợ sinh viên khác	Từ 11–20 phút	Đồng ý	Đồng ý	Đồng ý	Đồng ý	Hoàn toàn đồng ý	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần	Quiz hoặc poll kiểm tra nhanh	AI chỉ phân tích và thông báo cho giảng viên	AI đánh giá sai mức độ hiểu bài, Phụ thuộc quá nhiều vào AI	Chưa chắc chắn	Không
7/30/2026 16:22:29	Đã tốt nghiệp	Đã học nhiều môn	Google Classroom	3	Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản	Tôi không nhớ hoặc chưa từng gặp trường hợp này	Trung lập	Trung lập	Hoàn toàn đồng ý	Đồng ý	Trung lập	3	AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn, Bảng xếp hạng trong lớp	Gợi ý cá nhân khi gặp lỗi	AI đưa ra gợi ý, nhưng sinh viên chủ động lựa chọn xem	Quyền riêng tư và dữ liệu cá nhân, AI đánh giá sai mức độ hiểu bài, Phụ thuộc quá nhiều vào AI	Có thể có	
7/30/2026 16:22:29	Năm 1	Đã học nhiều môn	Google Classroom, Zalo, Messenger hoặc Discord	1	Hỏi trực tiếp giảng viên hoặc trợ giảng, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Muốn tự giải quyết trước, Tôi thường chủ động hỏi giảng viên	Dưới 5 phút	Trung lập	Trung lập	Hoàn toàn không đồng ý	Trung lập	Không đồng ý	3	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, Bảng xếp hạng trong lớp	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI tự động hướng dẫn từng bước để hoàn thành bài	AI đánh giá sai mức độ hiểu bài, Phụ thuộc quá nhiều vào AI, Badge hoặc bảng xếp hạng tạo sự cạnh tranh không cần thiết	Chắc chắn có	
7/30/2026 16:23:14	Năm 5 trở lên	Đã học nhiều môn	Hệ thống LMS của trường	2	Hỏi bạn bè, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng, Chờ giảng viên đến hỗ trợ	Ngại phát biểu trước lớp, Sợ câu hỏi của mình quá đơn giản, Không biết mô tả lỗi như thế nào	Dưới 5 phút	Hoàn toàn đồng ý	Không đồng ý	Đồng ý	Trung lập	Đồng ý	2	Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Hiển thị tiến độ hoàn thành bài tập, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn, Bảng xếp hạng trong lớp	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI đưa ra gợi ý, nhưng sinh viên chủ động lựa chọn xem	Quyền riêng tư và dữ liệu cá nhân, AI đánh giá sai mức độ hiểu bài, AI đưa ra gợi ý hoặc đáp án không chính xác, Phụ thuộc quá nhiều vào AI	Chưa chắc chắn	
7/30/2026 16:23:49	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường, Google Classroom	3	Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Giảng viên đang bận hỗ trợ sinh viên khác	Dưới 5 phút	Trung lập	Trung lập	Trung lập	Trung lập	Trung lập	3	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI tự động hướng dẫn từng bước để hoàn thành bài	Quyền riêng tư và dữ liệu cá nhân, AI đưa ra gợi ý hoặc đáp án không chính xác	Chưa chắc chắn	
7/30/2026 16:24:06	Đã tốt nghiệp	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab	4	Hỏi trực tiếp giảng viên hoặc trợ giảng, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng	Giảng viên đang bận hỗ trợ sinh viên khác, Không biết mô tả lỗi như thế nào, Muốn tự giải quyết trước	Từ 5–10 phút	Hoàn toàn đồng ý	Đồng ý	Đồng ý	Đồng ý	Đồng ý	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn	Theo dõi tiến độ và cảnh báo nguy cơ chậm bài	AI chỉ phân tích và thông báo cho giảng viên	Quyền riêng tư và dữ liệu cá nhân, AI đưa ra gợi ý hoặc đáp án không chính xác, Phụ thuộc quá nhiều vào AI	Chưa chắc chắn	
7/30/2026 16:24:07	Năm 3	Đã học nhiều môn	Hệ thống LMS của trường, GitHub hoặc GitLab	3	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Sử dụng ChatGPT hoặc công cụ AI khác	Muốn tự giải quyết trước	Từ 5–10 phút	Hoàn toàn không đồng ý	Hoàn toàn không đồng ý	Hoàn toàn không đồng ý	Hoàn toàn không đồng ý	Hoàn toàn không đồng ý	4	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI chỉ phân tích và thông báo cho giảng viên	Quyền riêng tư và dữ liệu cá nhân, AI đánh giá sai mức độ hiểu bài	Chắc chắn có	
7/30/2026 16:33:12	Năm 4	Đã học 1–2 môn	Hệ thống LMS của trường, Google Classroom, Microsoft Teams, GitHub hoặc GitLab	2	Hỏi bạn bè, Xem lại tài liệu hoặc video bài giảng	Ngại phát biểu trước lớp, Không biết mô tả lỗi như thế nào	Trên 20 phút	Đồng ý	Đồng ý	Đồng ý	Đồng ý	Hoàn toàn đồng ý	3	Thông báo cho giảng viên khi nhiều sinh viên cùng gặp khó khăn, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn	Theo dõi tiến độ và cảnh báo nguy cơ chậm bài	AI tự động gửi gợi ý khi phát hiện sinh viên gặp khó khăn	Giảng viên sử dụng dữ liệu để đánh giá hoặc gây áp lực, Badge hoặc bảng xếp hạng tạo sự cạnh tranh không cần thiết	Chắc chắn có	
7/30/2026 16:33:43	Năm 5 trở lên	Đã học nhiều môn	Hệ thống LMS của trường	4	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác, Xem lại tài liệu hoặc video bài giảng, Chờ giảng viên đến hỗ trợ	Muốn tự giải quyết trước, Tôi thường chủ động hỏi giảng viên	Dưới 5 phút	Đồng ý	Trung lập	Trung lập	Trung lập	Trung lập	3	Nhận gợi ý khi mắc cùng một lỗi nhiều lần, Quiz tự động thay đổi theo kết quả học tập của sinh viên, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Hiển thị tiến độ hoàn thành bài tập, Bảng xếp hạng trong lớp	Giảng viên được cảnh báo khi cả lớp gặp khó khăn	AI chỉ phân tích và thông báo cho giảng viên	Quyền riêng tư và dữ liệu cá nhân, Phụ thuộc quá nhiều vào AI	Chưa chắc chắn	
7/30/2026 16:35:59	Năm 4	Đã học nhiều môn	Hệ thống LMS của trường, Google Classroom, GitHub hoặc GitLab	3	Hỏi trực tiếp giảng viên hoặc trợ giảng, Hỏi bạn bè, Tự tìm kiếm trên Google, Sử dụng ChatGPT hoặc công cụ AI khác	Ngại phát biểu trước lớp, Muốn tự giải quyết trước	Từ 5–10 phút	Trung lập	Đồng ý	Không đồng ý	Đồng ý	Đồng ý	4	Quiz hoặc poll ngắn để kiểm tra mức độ hiểu bài, Quiz tự động thay đổi theo kết quả học tập của sinh viên, AI chấm sơ bộ câu hỏi trắc nghiệm và câu trả lời ngắn, Cảnh báo khi có nguy cơ không hoàn thành bài đúng hạn	Theo dõi tiến độ và cảnh báo nguy cơ chậm bài	AI đưa ra gợi ý, nhưng sinh viên chủ động lựa chọn xem	Phụ thuộc quá nhiều vào AI	Có thể có	
